PLAYER,TYPE,PRICE PAID,Year
Faf Du Plessis,Batsman,30000000,2018
Mark Wood,Bowler,18000000,2018
Sam Billings,Wicket Keeper,37500000,2018
Imran Tahir,Bowler,3000000,2018
Deepak Chahar,All-Rounder,60000000,2018
Mitchell Santner,All-Rounder,27000000,2018
Lungisani Ngidi,Bowler,24000000,2018
Asif K M,Bowler,6000000,2018
N Jagadeesan,Wicket Keeper,3000000,2018
Kanishk Seth,All-Rounder,43500000,2018
Monu Singh,Bowler,42000000,2018
Dhruv Shorey,All-Rounder,40500000,2018
Kshitiz Sharma,All-Rounder,24000000,2018
Chaitanya Bishnoi,All-Rounder,24000000,2018
Glenn Maxwell,All-Rounder,12600000,2018
Kagiso Rabada,Bowler,1200000,2018
Amit Mishra,Bowler,31500000,2018
Shahbaz Nadeem,Bowler,24000000,2018
Vijay Shankar,All-Rounder,18000000,2018
Rahul Tewatia,All-Rounder,17400000,2018
Mohammad Shami,Bowler,9000000,2018
Gautam Gambhir,Batsman,6000000,2018
Trent Boult,Bowler,3000000,2018
Colin Munro,All-Rounder,40500000,2018
Daniel Christian,All-Rounder,25500000,2018
Jason Roy,Batsman,6000000,2018
Naman Ojha,Wicket Keeper,6000000,2018
Prithvi Shaw,Batsman,6000000,2018
Gurkeerat Singh Mann,All-Rounder,1200000,2018
Avesh Khan,Bowler,7000000,2018
Abhishek Sharma,All-Rounder,5500000,2018
Jayant Yadav,All-Rounder,5000000,2018
Harshal Patel,All-Rounder,2000000,2018
Manjot Kalra,Batsman,2000000,2018
Sandeep Lamichhane,Bowler,2000000,2018
Sayan Ghosh,Bowler,2000000,2018
KL Rahul,Batsman,110000000,2018
Ravichandran Ashwin,All-Rounder,76000000,2018
Andrew Tye,Bowler,72000000,2018
Aaron Finch,Batsman,62000000,2018
Marcus Stoinis,All-Rounder,62000000,2018
Karun Nair,Batsman,56000000,2018
Mujeeb Zadran,Bowler,40000000,2018
Ankit Singh Rajpoot,Bowler,30000000,2018
David Miller,Batsman,30000000,2018
Mohit Sharma,Bowler,24000000,2018
Barinder Singh Sran,Bowler,22000000,2018
Yuvraj Singh,All-Rounder,20000000,2018
Christopher Gayle,Batsman,20000000,2018
Ben Dwarshuis,Bowler,14000000,2018
Akshdeep Nath,All-Rounder,10000000,2018
Manoj Tiwary,Batsman,10000000,2018
Mayank Agarwal,Batsman,10000000,2018
Manzoor Dar,All-Rounder,2000000,2018
Pardeep Sahu,Bowler,2000000,2018
Mayank Dagar,All-Rounder,2000000,2018
Chris Lynn,Batsman,96000000,2018
Mitchell Starc,Bowler,94000000,2018
Dinesh Karthik,Wicket Keeper,74000000,2018
Robin Uthappa,Wicket Keeper,64000000,2018
Kuldeep Singh Yadav,Bowler,58000000,2018
Piyush Chawla,Bowler,42000000,2018
Nitish Rana,All-Rounder,34000000,2018
Kamlesh Nagarkoti,All-Rounder,32000000,2018
Shivam Mavi,All-Rounder,30000000,2018
Mitchell Johnson,Bowler,20000000,2018
Shubman Gill,Batsman,18000000,2018
Ranganath Vinay Kumar,Bowler,10000000,2018
Rinku Singh,Batsman,8000000,2018
Cameron Delport,All-Rounder,3000000,2018
Javon Searless,All-Rounder,3000000,2018
Apoorv Vijay Wankhade,Batsman,2000000,2018
Ishank Jaggi,Batsman,2000000,2018
Krunal Pandya,All-Rounder,88000000,2018
Ishan Kishan,Wicket Keeper,62000000,2018
Kieron Pollard,All-Rounder,54000000,2018
Pat Cummins,Bowler,54000000,2018
Evin Lewis,Batsman,38000000,2018
Suryakumar Yadav,Batsman,32000000,2018
Ben Cutting,All-Rounder,22000000,2018
Mustafizur Rahman,Bowler,22000000,2018
Rahul Chahar,Bowler,19000000,2018
Pradeep Sangwan,Bowler,15000000,2018
Jason Behrendorff,Bowler,15000000,2018
Jean-Paul Duminy,All-Rounder,10000000,2018
Saurabh Tiwary,Batsman,8000000,2018
Tajinder Dhillon,All-Rounder,5500000,2018
Akila Dhananjaya,Bowler,5000000,2018
Nidheesh M D Dinesan,Bowler,2000000,2018
Aditya Tare,Wicket Keeper,2000000,2018
Siddhesh Dinesh Lad,Batsman,2000000,2018
Mayank Markande,Bowler,2000000,2018
Sharad Lumba,Batsman,2000000,2018
Anukul Roy,All-Rounder,2000000,2018
Mohsin Khan,Bowler,2000000,2018
Benjamin Stokes,All-Rounder,125000000,2018
Jaydev Unadkat,Bowler,115000000,2018
Sanju Samson,Wicket Keeper,80000000,2018
Jofra Archer,All-Rounder,72000000,2018
Krishnappa Gowtham,Bowler,62000000,2018
Jos Buttler,Wicket Keeper,44000000,2018
Ajinkya Rahane,Batsman,40000000,2018
Darcy Short,All-Rounder,40000000,2018
Rahul Tripathi,Batsman,34000000,2018
Dhawal Kulkarni,Bowler,7500000,2018
Zahir Khan Pakteen,Bowler,6000000,2018
Ben Laughlin,Bowler,5000000,2018
Stuart Binny,All-Rounder,5000000,2018
Dushmantha Chameera,Bowler,5000000,2018
Anureet Singh,Bowler,3000000,2018
Aryaman Vikram Birla,All-Rounder,3000000,2018
Midhun S,All-Rounder,2000000,2018
Shreyas Gopal,All-Rounder,2000000,2018
Prashant Chopra,Wicket Keeper,2000000,2018
Jatin Saxena,All-Rounder,2000000,2018
Ankit Sharma,All-Rounder,2000000,2018
Mahipal Lomror,All-Rounder,2000000,2018
Chris Woakes,All-Rounder,74000000,2018
Yuzvendra Singh Chahal,Bowler,60000000,2018
Umesh Yadav,Bowler,42000000,2018
Brendon McCullum,Batsman,36000000,2018
M.S. Washington Sundar,All-Rounder,32000000,2018
Navdeep Saini,Bowler,30000000,2018
Quinton De Kock,Wicket Keeper,28000000,2018
Mohammed Siraj,Bowler,26000000,2018
Nathan Coulter-Nile,Bowler,22000000,2018
Colin De Grandhomme,All-Rounder,22000000,2018
M. Ashwin,Bowler,22000000,2018
Parthiv Patel,Wicket Keeper,17000000,2018
Moeen Ali,All-Rounder,17000000,2018
Mandeep Singh,All-Rounder,14000000,2018
Manan Vohra,Batsman,11000000,2018
Pawan Negi,All-Rounder,10000000,2018
Tim Southee,Bowler,10000000,2018
Kulwant Khejroliya,Bowler,8500000,2018
