PLAYER,RUNS,MAT,INNS,NO,HS,AVG,BF,SR,100,50,4S,6S,Year,TEAM,Price,TYPE
Mayank Markande,21,14,6,4,7*,10.5,24,87.5,0,0,2,0,2018,MI,2000000.0,Bowler
Mitchell Johnson,16,6,2,2,12*,0.0,11,145.45,0,0,2,0,2018,KKR,20000000.0,Bowler
Mohit Sharma,10,9,4,3,4*,10.0,13,76.92,0,0,1,0,2018,PBKS,24000000.0,Bowler
Mohammad Shami,7,4,1,0,7,7.0,6,116.66,0,0,1,0,2018,DC,9000000.0,Bowler
Shahbaz Nadeem,6,6,1,1,6*,0.0,8,75.0,0,0,0,0,2018,DC,24000000.0,Bowler
Dhawal Kulkarni,6,8,2,1,3*,6.0,7,85.71,0,0,0,0,2018,RR,7500000.0,Bowler
Anureet Singh,3,3,1,1,3*,0.0,4,75.0,0,0,0,0,2018,RR,3000000.0,Bowler
Basil Thampi,3,4,2,1,3,3.0,6,50.0,0,0,0,0,2018,SRH,9500000.0,Bowler
Umesh Yadav,3,14,5,1,1*,0.75,11,27.27,0,0,0,0,2018,RCB,42000000.0,Bowler
Siddarth Kaul,3,17,4,1,2,1.0,14,21.42,0,0,0,0,2018,SRH,38000000.0,Bowler
Imran Tahir,2,6,1,1,2*,0.0,2,100.0,0,0,0,0,2018,CSK,3000000.0,Bowler
Mark Wood,1,1,1,0,1,1.0,3,33.33,0,0,0,0,2018,CSK,18000000.0,Bowler
Ben Laughlin,1,7,2,1,1*,1.0,4,25.0,0,0,0,0,2018,RR,5000000.0,Bowler
Mustafizur Rahman,1,7,2,1,1,1.0,3,33.33,0,0,0,0,2018,MI,22000000.0,Bowler
Amit Mishra,1,10,1,1,1*,0.0,2,50.0,0,0,0,0,2018,DC,31500000.0,Bowler
Pradeep Sangwan,0,1,1,0,0*,0.0,4,0.0,0,0,0,0,2018,MI,15000000.0,Bowler
Sandeep Sharma,0,12,3,1,0*,0.0,4,0.0,0,0,0,0,2018,SRH,30000000.0,Bowler
Trent Boult,0,14,1,0,0*,0.0,2,0.0,0,0,0,0,2018,DC,3000000.0,Bowler
Ishant Sharma,10,13,3,3,10*,0.0,3,333.33,0,0,1,1,2019,DC,15600000.0,Bowler
Varun Aaron,3,5,1,1,3*,0.0,7,42.85,0,0,0,0,2019,RR,24000000.0,Bowler
Hardus Viljoen,3,6,3,1,2*,1.5,7,42.85,0,0,0,0,2019,PBKS,42000000.0,Bowler
Harry Gurney,1,8,1,1,1*,0.0,5,20.0,0,0,0,0,2019,KKR,9000000.0,Bowler
